table,row_key,field,current_value,reason,priority,best_source_or_candidate,candidate_or_hint,notes,status
recipe_ingredients.csv,suon_kho_khoai_tay:nuoc_mam,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,25,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,suon_kho_khoai_tay:duong_cat,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,15,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,bo_kho_ca_rot:sa,quantity,CAN-DIEN: luong theo unitCode,Source gives lemongrass as stalk/count or a gram range; midpoint is intentionally not fabricated.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,bo_kho_ca_rot:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ca_loc_kho_to:ot_hiem,quantity,CAN-DIEN: luong theo unitCode,Bird’s-eye chili fruit weight varies materially; source gives count but no exact gram mass.,medium,https://cookpad.com/vn/cong-thuc/16530608,10,"Nguồn Cookpad ghi 2 trái ớt; candidate 10 g là ước lượng quy đổi của AI, không phải số chép từ nguồn. Cần cân/duyệt thủ công.",needs_human
recipe_ingredients.csv,ca_basa_chien_gion:dau_an,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,100,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ca_nuc_kho_ca_chua:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,ca_basa_kho_tieu:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,https://cookpad.com/vn/cong-thuc/16728074-ca-basa-kho-tieu,30,"Nguồn tham khảo có hành/đầu hành nhưng không cho gram phù hợp; candidate 30 g là ước lượng của AI, chỉ để review.",needs_human
recipe_ingredients.csv,tom_xao_bi_dao:nuoc_mam,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,https://marketplace.tripmap.vn/recipes/tom-xao-bi-xanh,15,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,muc_xao_ca_chua:toi,quantity,CAN-DIEN: luong theo unitCode,Source uses stalk/clove/count or an imprecise amount that cannot be mapped safely to the schema scalar for this recipe.,medium,,10,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,trung_chien_thit_bam:hanh_la,quantity,CAN-DIEN: luong theo unitCode,Source uses stalk/clove/count or an imprecise amount that cannot be mapped safely to the schema scalar for this recipe.,medium,https://cooponline.vn/cong-thuc-nau-an/cach-lam-trung-chien-thit-bam-mem-thom-dam-vi-de-lam/,10,Nguồn Co.op Online ghi hành lá 10 g cho công thức 4 khẩu phần. Chỉ đề xuất để người duyệt; KHÔNG ghi vào recipe_ingredients.csv.,needs_human
recipe_ingredients.csv,dau_hu_chien_sa:sa,quantity,CAN-DIEN: luong theo unitCode,Source gives lemongrass as stalk/count or a gram range; midpoint is intentionally not fabricated.,medium,https://www.dienmayxanh.com/vao-bep/cach-lam-dau-hu-chien-sa-ot-gion-rum-thom-ngon-chay-man-deu-11220,25,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,dau_hu_chien_sa:ot_hiem,quantity,CAN-DIEN: luong theo unitCode,Bird’s-eye chili fruit weight varies materially; source gives count but no exact gram mass.,medium,,5,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,dau_hu_chien_sa:muoi,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,2,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,dau_hu_kho_nam:hanh_tim,quantity,CAN-DIEN: luong theo unitCode,Source commonly gives shallot as củ/count; no defensible Vietnamese shallot count→gram scalar was established.,medium,,30,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,cai_ngot_luoc:muoi,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,3,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,bap_cai_xao:dau_an,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,15,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,canh_chua_ca_loc:rau_ngo,quantity,CAN-DIEN: luong theo unitCode,Source uses stalk/clove/count or an imprecise amount that cannot be mapped safely to the schema scalar for this recipe.,medium,,20,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,canh_chua_ca_loc:duong_cat,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,10,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,canh_cai_thao_thit:hat_nem,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,8,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipe_ingredients.csv,canh_bi_do_thit_bam:hat_nem,quantity,CAN-DIEN: luong theo unitCode,"Exact/near-exact recipe source leaves this seasoning as “một ít/vừa ăn”, a range, or omits it; no scalar is invented.",medium,,8,Candidate là ước lượng của AI cho review_queue בלבד; không có nguồn đủ chính xác theo đúng unitCode để tự động áp dụng. Cần người duyệt.,needs_human
recipes.csv,com_trang,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,Sources give ranges for dry-rice quantity/servings and cooking time; no single scalar is selected.,medium,,4,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,com_trang,activeMinutes,,Sources give ranges for dry-rice quantity/servings and cooking time; no single scalar is selected.,medium,,5,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,com_trang,elapsedMinutes,,Sources give ranges for dry-rice quantity/servings and cooking time; no single scalar is selected.,medium,,30,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,ga_kho_gung,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,Exact 500g Tmart recipe states 2–3 servings; range is preserved rather than choosing a midpoint.,medium,https://tmart.vn/news/59,3,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ga_kho_gung,activeMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://tmart.vn/news/59,20,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ga_kho_gung,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://tmart.vn/news/59,40,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ga_kho_nam,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,4,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,ga_kho_nam,activeMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,20,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,ga_kho_nam,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,40,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,thit_kho_trung,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,60,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,suon_kho_khoai_tay,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,4,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,suon_kho_khoai_tay,activeMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,25,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,suon_kho_khoai_tay,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,50,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,bo_xao_gia,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://gofood.vn/tin-tuc/cach-lam-thit-bo-xao-gia-do.html,25,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ca_loc_kho_to,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://cookpad.com/vn/cong-thuc/16530608,3,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ca_loc_kho_to,activeMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://cookpad.com/vn/cong-thuc/16530608,20,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,ca_loc_kho_to,elapsedMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,https://cookpad.com/vn/cong-thuc/16530608,60,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,rau_muong_luoc,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,Sources use different bunch/weight scales or do not split prep vs cook consistently.,medium,https://vnexpress.net/doi-song-cooking-cach-luoc-rau-muong-kieu-ha-noi-theo-loi-xua-4752379.html,4.5,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,rau_muong_luoc,activeMinutes,,Sources use different bunch/weight scales or do not split prep vs cook consistently.,medium,https://vnexpress.net/doi-song-cooking-cach-luoc-rau-muong-kieu-ha-noi-theo-loi-xua-4752379.html,10,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Có nguồn món tham khảo ở best_source_or_candidate; candidate có thể là lựa chọn đơn từ khoảng hoặc ước lượng và phải được người duyệt.",needs_human
recipes.csv,cai_ngot_luoc,activeMinutes,,"No exact-dish, compatible-scale source with a single unambiguous value was found.",medium,,10,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
recipes.csv,canh_ca_chua_trung,yieldAdultEquivalent,CAN-DIEN: so nguoi lon mon nay du cho,Exact 2-egg/1-tomato sources do not provide an adult-equivalent serving count.,medium,,4,"Chỉ đề xuất trong review_queue, KHÔNG ghi vào recipes.csv. Không tìm được nguồn công thức đủ khớp; candidate là ước lượng của AI.",needs_human
food_nutrients.csv,me_chua:fat_g,amountPer100g,CAN-DIEN: tren 100g phan an duoc,Vietnamese source indicates no published value / data not available; foreign tamarind data was not substituted because profiles differ.,high,CAN-DIEN: nguon so lieu,,Keep as no-data unless an authoritative matching Vietnamese/raw-tamarind source is found.,review_required
food_nutrients.csv,me_chua:fat_g,provenance,CAN-DIEN: nguon so lieu,No authoritative numeric value available; retain explicit no-data review state.,high,,,,review_required
food_nutrients.csv,me_chua:sodium_mg,amountPer100g,CAN-DIEN: tren 100g phan an duoc,Vietnamese source indicates no published value / data not available; foreign tamarind data was not substituted because profiles differ.,high,CAN-DIEN: nguon so lieu,,Keep as no-data unless an authoritative matching Vietnamese/raw-tamarind source is found.,review_required
food_nutrients.csv,me_chua:sodium_mg,provenance,CAN-DIEN: nguon so lieu,No authoritative numeric value available; retain explicit no-data review state.,high,,,,review_required
meal_options.csv,com_ga_kho_gung_rau_muong,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,https://tmart.vn/news/59|https://vnexpress.net/doi-song-cooking-cach-luoc-rau-muong-kieu-ha-noi-theo-loi-xua-4752379.html,3,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_kho_gung_rau_muong,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,https://tmart.vn/news/59|https://vnexpress.net/doi-song-cooking-cach-luoc-rau-muong-kieu-ha-noi-theo-loi-xua-4752379.html,35,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_kho_gung_rau_muong,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,https://tmart.vn/news/59|https://vnexpress.net/doi-song-cooking-cach-luoc-rau-muong-kieu-ha-noi-theo-loi-xua-4752379.html,40,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_chien_mam_bap_cai,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,3,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_chien_mam_bap_cai,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,37,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_chien_mam_bap_cai,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,40,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_xao_sa_ot_canh_bi_dao,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,3,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_xao_sa_ot_canh_bi_dao,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,50,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_xao_sa_ot_canh_bi_dao,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,50,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_kho_nam_cai_ngot,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,4,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_kho_nam_cai_ngot,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,35,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_ga_kho_nam_cai_ngot,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,40,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_kho_trung_rau_muong,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,4,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_kho_trung_rau_muong,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,60,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_kho_trung_rau_muong,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,60,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_suon_ram_man_canh_cai_thao,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,2,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_suon_ram_man_canh_cai_thao,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,35,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_suon_ram_man_canh_cai_thao,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,60,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_xao_dau_cove_canh_bi_do,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,4,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_xao_dau_cove_canh_bi_do,activeMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,30,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_xao_dau_cove_canh_bi_do,elapsedMinutes,,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,35,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
meal_options.csv,com_thit_xao_hanh_tay_rau_den,yieldAdultEquivalent,CAN-DIEN: so nguoi lon bua nay du cho,README does not define how to derive meal-level yield/time from component recipes (e.g. min/sum/max/parallel); no business rule is invented.,high,,1,"Ước lượng của AI từ các recipe thành phần: yield=min(yield món), active=sum(active), elapsed=max(max elapsed, sum active) để review; KHÔNG áp dụng vào meal_options.csv.",needs_human
