recipeCode,order,instructionVi,timerMinutes,heatLevel,temperatureCelsius,ingredientCodes
thit_xao_dau_cove,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,thit_nac_vai|dau_cove|toi|nuoc_mam|dau_an
thit_xao_dau_cove,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",3,high,190,
thit_xao_dau_cove,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",5,high,190,
thit_xao_hanh_tay,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,thit_nac_vai|hanh_tay|toi|nuoc_mam|tieu_xay|dau_an
thit_xao_hanh_tay,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",3,high,190,
thit_xao_hanh_tay,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",3,high,190,
suon_kho_khoai_tay,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,20,,,suon_heo|khoai_tay|hanh_tim|nuoc_mam|duong_cat
suon_kho_khoai_tay,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,6,medium,170,
suon_kho_khoai_tay,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,35,low,95,
bo_xao_gia,1,Sơ chế và cắt nguyên liệu vừa ăn.,15,,,thit_bo_bap|gia_do|toi|hanh_la|nuoc_tuong|dau_an
bo_xao_gia,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",3,high,200,
bo_xao_gia,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",3,high,190,
bo_kho_ca_rot,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,30,,,thit_bo_bap|ca_rot|sa|hanh_tim|nuoc_mam|dau_an
bo_kho_ca_rot,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,7,medium,170,
bo_kho_ca_rot,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,40,low,95,
bo_xao_hanh_tay,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,thit_bo_bap|hanh_tay|toi|tieu_xay|nuoc_tuong|dau_an
bo_xao_hanh_tay,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",3,high,200,
bo_xao_hanh_tay,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",3,high,190,
ca_loc_kho_to,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,30,,,ca_loc|hanh_tim|ot_hiem|nuoc_mam|duong_cat|tieu_xay
ca_loc_kho_to,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,5,medium,160,
ca_loc_kho_to,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,20,low,95,
ca_basa_chien_gion,1,"Sơ chế, thấm khô nguyên liệu và ướp gia vị.",10,,,ca_basa|muoi|tieu_xay|dau_an
ca_basa_chien_gion,2,Chiên hoặc áp chảo cho vàng đều hai mặt.,6,medium,170,
ca_basa_chien_gion,3,"Vớt ra để ráo dầu, nêm lại nếu cần.",2,,,
ca_nuc_kho_ca_chua,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,15,,,ca_nuc|ca_chua|hanh_tim|nuoc_mam|duong_cat
ca_nuc_kho_ca_chua,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,5,medium,160,
ca_nuc_kho_ca_chua,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,30,low,95,
ca_basa_kho_tieu,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,20,,,ca_basa|tieu_xay|hanh_tim|nuoc_mam|duong_cat
ca_basa_kho_tieu,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,5,medium,160,
ca_basa_kho_tieu,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,25,low,95,
tom_rim_man,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,15,,,tom_the|toi|nuoc_mam|duong_cat|tieu_xay|dau_an
tom_rim_man,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,3,medium,160,
tom_rim_man,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,20,low,95,
tom_xao_bi_dao,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,tom_the|bi_dao|toi|nuoc_mam|dau_an
tom_xao_bi_dao,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",3,high,190,
tom_xao_bi_dao,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",5,high,185,
muc_xao_ca_chua,1,Sơ chế và cắt nguyên liệu vừa ăn.,15,,,muc_ong|ca_chua|hanh_tay|toi|nuoc_mam|dau_an
muc_xao_ca_chua,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",5,high,190,
muc_xao_ca_chua,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",4,high,185,
trung_chien_hanh,1,"Sơ chế, thấm khô nguyên liệu và ướp gia vị.",5,,,trung_ga|hanh_la|nuoc_mam|tieu_xay|dau_an
trung_chien_hanh,2,Chiên hoặc áp chảo cho vàng đều hai mặt.,5,medium,160,
trung_chien_hanh,3,"Vớt ra để ráo dầu, nêm lại nếu cần.",1,,,
trung_chien_thit_bam,1,"Sơ chế, thấm khô nguyên liệu và ướp gia vị.",10,,,trung_ga|thit_bo_xay|hanh_la|nuoc_mam|dau_an
trung_chien_thit_bam,2,Chiên hoặc áp chảo cho vàng đều hai mặt.,8,medium,160,
trung_chien_thit_bam,3,"Vớt ra để ráo dầu, nêm lại nếu cần.",1,,,
dau_hu_sot_ca_chua,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,dau_hu_trang|ca_chua|hanh_la|toi|nuoc_tuong|dau_an
dau_hu_sot_ca_chua,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",5,medium,170,
dau_hu_sot_ca_chua,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",3,low,95,
dau_hu_chien_sa,1,"Sơ chế, thấm khô nguyên liệu và ướp gia vị.",10,,,dau_hu_trang|sa|ot_hiem|muoi|dau_an
dau_hu_chien_sa,2,Chiên hoặc áp chảo cho vàng đều hai mặt.,6,medium,175,
dau_hu_chien_sa,3,"Vớt ra để ráo dầu, nêm lại nếu cần.",2,,,
dau_hu_kho_nam,1,Sơ chế nguyên liệu và ướp phần đạm với gia vị.,15,,,dau_hu_trang|nam_rom|hanh_tim|nuoc_tuong|duong_cat
dau_hu_kho_nam,2,Phi thơm hành tỏi rồi cho phần đạm vào đảo săn.,4,medium,160,
dau_hu_kho_nam,3,Kho nhỏ lửa cho tới khi thấm và nước sánh lại.,20,low,95,
rau_muong_luoc,1,Nhặt và rửa sạch rau.,7,,,rau_muong|muoi
rau_muong_luoc,2,"Đun nước sôi, thêm chút muối rồi cho rau vào luộc.",3,high,100,
rau_muong_luoc,3,Vớt ra ngay và để ráo.,1,,,
rau_muong_xao_toi,1,Sơ chế và cắt nguyên liệu vừa ăn.,15,,,rau_muong|toi|dau_an|hat_nem
rau_muong_xao_toi,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",1,high,190,
rau_muong_xao_toi,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",5,high,190,
cai_ngot_luoc,1,Nhặt và rửa sạch rau.,7,,,cai_ngot|muoi
cai_ngot_luoc,2,"Đun nước sôi, thêm chút muối rồi cho rau vào luộc.",2,high,100,
cai_ngot_luoc,3,Vớt ra ngay và để ráo.,1,,,
bap_cai_xao,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,bap_cai|toi|dau_an|hat_nem
bap_cai_xao,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",1,high,185,
bap_cai_xao,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",5,high,185,
su_su_xao_ca_rot,1,Sơ chế và cắt nguyên liệu vừa ăn.,10,,,su_su|ca_rot|toi|dau_an|hat_nem
su_su_xao_ca_rot,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",1,high,185,
su_su_xao_ca_rot,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",6,high,185,
muop_xao_toi,1,Sơ chế và cắt nguyên liệu vừa ăn.,15,,,muop_huong|toi|dau_an|hat_nem
muop_xao_toi,2,"Phi thơm tỏi, xào phần đạm trên lửa lớn.",1,medium,170,
muop_xao_toi,3,"Cho phần rau vào đảo nhanh, nêm vừa ăn.",3,medium,170,
rau_den_luoc,1,Nhặt và rửa sạch rau.,7,,,rau_den|muoi
rau_den_luoc,2,"Đun nước sôi, thêm chút muối rồi cho rau vào luộc.",2,high,100,
rau_den_luoc,3,Vớt ra ngay và để ráo.,1,,,
canh_bi_dao_thit_bam,1,"Sơ chế nguyên liệu, cắt miếng vừa ăn.",10,,,bi_dao|thit_bo_xay|hanh_la|hat_nem|muoi
canh_bi_dao_thit_bam,2,Đun nước sôi rồi cho phần đạm vào nấu.,5,high,100,
canh_bi_dao_thit_bam,3,"Cho rau vào, nêm vừa ăn, tắt bếp và thêm hành ngò.",7,low,95,
canh_chua_ca_loc,1,"Sơ chế nguyên liệu, cắt miếng vừa ăn.",15,,,ca_loc|me_chua|ca_chua|gia_do|rau_ngo|nuoc_mam|duong_cat
canh_chua_ca_loc,2,Đun nước sôi rồi cho phần đạm vào nấu.,8,high,100,
canh_chua_ca_loc,3,"Cho rau vào, nêm vừa ăn, tắt bếp và thêm hành ngò.",7,medium,95,
canh_cai_thao_thit,1,"Sơ chế nguyên liệu, cắt miếng vừa ăn.",10,,,cai_thao|thit_nac_vai|hanh_la|hat_nem
canh_cai_thao_thit,2,Đun nước sôi rồi cho phần đạm vào nấu.,5,high,100,
canh_cai_thao_thit,3,"Cho rau vào, nêm vừa ăn, tắt bếp và thêm hành ngò.",4,medium,95,
canh_ca_chua_trung,1,"Sơ chế nguyên liệu, cắt miếng vừa ăn.",5,,,ca_chua|trung_ga|hanh_la|hat_nem|muoi
canh_ca_chua_trung,2,Đun nước sôi rồi cho phần đạm vào nấu.,5,high,100,
canh_ca_chua_trung,3,"Cho rau vào, nêm vừa ăn, tắt bếp và thêm hành ngò.",5,medium,95,
canh_bi_do_thit_bam,1,"Sơ chế nguyên liệu, cắt miếng vừa ăn.",15,,,bi_do|thit_bo_xay|hanh_la|hat_nem
canh_bi_do_thit_bam,2,Đun nước sôi rồi cho phần đạm vào nấu.,5,high,100,
canh_bi_do_thit_bam,3,"Cho rau vào, nêm vừa ăn, tắt bếp và thêm hành ngò.",15,medium,95,
